Cycle	Capacity	Capacity decayed	Capacity	Capacity decayed	Cycle	Capacity	Capacity decayed	Capacity	Capacity decayed
	Ah	%	Ah	%		Ah	%	Ah	%
	Cell1	Cell1	Cell3	Cell3		Cell2	Cell2	Cell4	Cell4
0	2.6497	0	2.6358	0	0	2.659	0	2.6549	0
25	2.6346	0.569875835000201	2.5945	1.56688671371121	100	2.6236	1.33132756675441	2.5806	2.79859881728125
50	2.6209	1.08691549986792	2.6065	1.11161696638592	200	2.6128	1.73749529898457	2.5815	2.76469923537609
75	2.5929	2.14363890251726	2.5875	1.8324607329843	300	2.6029	2.10981572019556	2.59205	2.36732080304343
100	2.5668	3.12865607427256	2.5643	2.71264891114653	400	2.5978	2.30161714930425	2.5742	3.03966251082904
125	2.5476	3.85326640751784	2.5349	3.82805979209349	500	2.5864	2.7303497555472	2.5578	3.65738822554523
150	2.5311	4.4759784126505	2.5093	4.79930191972077	600	2.5781	3.04249717939074	2.5771	2.93043052469019
175	2.523	4.78167339698834	2.5068	4.89414978374687	700	2.5661	3.49379465964648	2.5531	3.83441937549437
200	2.5033	5.52515379099522	2.494	5.37977084756051	800	2.5771	3.08010530274538	2.5441	4.17341519454594
225	2.4815	6.34788844020078	2.4563	6.81007663707413	900	2.5781	3.04249717939074	2.529	4.74217484651023
250	2.468	6.85738008076387	2.4347	7.62956218225967	1000	2.537	4.58819104926664	2.5337	4.56514369656107
275	2.4553	7.3366796241084	2.424	8.03551104029138	1100	2.5358	4.63332079729221	2.5074	5.55576481223398
300	2.452	7.46122202513493	2.3985	9.00295925335763	1200	2.5175	5.3215494546822	2.4957	5.99645937700103
325	2.4278	8.37453296599616	2.3744	9.91729266256924	1300	2.5209	5.19368183527641	2.4828	6.48235338430826
350	2.4147	8.86892855794997	2.3565	10.5964033689961	1400	2.4911	6.31440391124483	2.4745	6.79498286187804
375	2.3956	9.58976487904292	2.3506	10.8202443280977	1500	2.4734	6.98006769462204	2.4647	7.16411164262307
400	2.3719	10.4842057591425	2.3771	9.81485696942105	1600	2.468	7.18315156073711	2.4552	7.52194056273306
425	2.3639	10.7861267313281	2.3626	10.3649745807724	1700	2.4395	8.25498307634449	2.4519	7.64623902971863
450	2.3551	11.1182398007322	2.3471	10.9530313377343	1800	2.4391	8.27002632568635	2.4468	7.83833666051452
475	2.3443	11.5258331131826	2.3342	11.442446316109	1900	2.4259	8.76645355396765	2.4463	7.85716976157295
500	2.3398	11.695663660037	2.3289	11.6435237878443	2000	2.4154	9.16133884919142	2.4255	8.64062676560323
525	2.303	13.0845001320904	2.2884	13.1800591850672	2100	2.4067	9.48852952237683	2.4129	9.11522091227542
550	2.2913	13.5260595539118	2.2765	13.6315350178314	2200	2.4017	9.67657013915005	2.4109	9.1905533165091
575	2.2789	13.9940370607993	2.2622	14.1740648000607	2300	2.4013	9.69161338849191	2.4014	9.54838223661907
600	2.2554	14.8809299165943	2.2491	14.6710676075575	2400	2.4039	9.59383226776983	2.3778	10.4373046065765
625	2.2536	14.9488621353361	2.237	15.1301312694438	2500	2.4038	9.5975930801053	2.3639	10.9608648160006
650	2.2418	15.3941955693097	2.2349	15.2098034752257	2600	2.3867	10.2406919894697	2.3511	11.4429922030962
675	2.2388	15.5074159338793	2.2049	16.347977843539	2700	2.377	10.6054907860098	2.3337	12.0983841199292
700	2.234	15.6885685171906	2.1983	16.5983762045679	2800	2.373	10.7559232794283	2.3289	12.27918189009
725	2.2188	16.2622183643431	2.169	17.7099931709538	2900	2.3572	11.3501316284317	2.3257	12.3997137368639
750	2.2068	16.7150998226214	2.1672	17.7782836330526	3000	2.3588	11.2899586310643	2.3259	12.3921804964406
775	2.1928	17.2434615239461	2.1431	18.6926170422642	3100	2.3545	11.4516735614893	2.3105	12.9722400090399
800	2.1861	17.4963203381515	2.1381	18.8823127703164	3200	2.3321	12.2940955246333	--	--
825	2.1687	18.152998452655	2.127	19.3034372865923	3300	2.3291	12.4069198946973	--	--
850	2.1655	18.2737668415292	2.1185	19.6259200242811	3400	2.3198	12.7566754418955	--	--
875	2.1594	18.5039815828207	2.1014	20.2746794142196	3500	2.2963	13.6404663407296	--	--
900	2.1489	18.9002528588142	2.0965	20.4605812277108	--	--	--	--	--
925	2.1389	19.2776540740461	2.0843	20.9234388041581	--	--	--	--	--
950	2.1325	19.5191908517946	--	--	--	--	--	--	--
975	2.1163	20.1305808204703	--	--	--	--	--	--	--
